iteracion,estado,observacion,tweet
1,Neutral,palabra neutra,El día está tiempo
2,Neutral,palabra neutra,Todo está muy veo ultimamente
3,Negativo,palabra negativa,Hoy me siento aburrido
4,Negativo,palabra negativa,La situación se ve horrible
5,Negativo,palabra negativa,Siempre pasa algo aburridísimo
6,Negativo,palabra negativa,Siempre pasa algo aburridísimo
7,Positivo,palabra positiva,No puedo creer lo emocionante
8,Positivo,palabra neutra,No puedo creer lo así
9,Positivo,palabra neutra,Hoy me siento dice
10,Negativo,palabra negativa,Nunca habia visto algo tan pesimo
11,Neutral,palabra neutra,Nunca habia visto algo tan entonces
12,Negativo,palabra negativa,No puedo creer lo triste
13,Positivo,palabra positiva,Definitivamente es sensacional
14,Positivo,palabra positiva,El día está extraordinario
15,Positivo,palabra positiva,Todo está muy brillante ultimamente
16,Positivo,palabra positiva,Qué momento tan espectacular
17,Positivo,palabra neutra,Esto es realmente lugar
18,Positivo,palabra positiva,Hoy me siento fantástico
19,Negativo,palabra neutra,El día está veces
20,Negativo,palabra negativa,El día está horrible
21,Negativo,palabra negativa,Siempre pasa algo aburridísimo
22,Neutral,palabra positiva,Qué día más fabuloso
23,Negativo,palabra positiva,Algo hermoso ha pasado hoy
24,Positivo,palabra negativa,Siempre pasa algo aburrido
25,Neutral,palabra negativa,Qué aburridísimo es la vida
26,Neutral,palabra positiva,Qué día más increíble
27,Neutral,palabra neutra,Definitivamente es tal vez
28,Neutral,palabra positiva,Qué día más magnífico
29,Neutral,palabra positiva,Hoy me siento increíble
30,Negativo,palabra neutra,Qué veo es la vida
31,Negativo,palabra negativa,Nunca habia visto algo tan insufrible
32,Negativo,palabra negativa,Qué momento tan aburrido
33,Neutral,palabra neutra,Hoy me siento veo
34,Positivo,palabra positiva,El día está magnífico
35,Neutral,palabra neutra,No puedo creer lo tiempo
36,Negativo,palabra negativa,Qué día más terrible
37,Neutral,palabra positiva,Nunca habia visto algo tan sensacional
38,Neutral,palabra neutra,Me parece nunca lo que vi
39,Neutral,palabra negativa,Esto es realmente frustrante
40,Positivo,palabra positiva,Esto es realmente brillante
41,Positivo,palabra neutra,Algo mañana ha pasado hoy
42,Positivo,palabra neutra,Todo está muy lugar ultimamente
43,Positivo,palabra positiva,Definitivamente es fantástico
44,Positivo,palabra positiva,Hoy me siento magnífico
45,Positivo,palabra positiva,"La verdad, muy admirable todo"
46,Neutral,palabra neutra,No puedo creer lo quizás
47,Neutral,palabra neutra,Siempre pasa algo ahora
48,Negativo,palabra negativa,Qué momento tan frustrante
49,Neutral,palabra neutra,El día está parece
50,Positivo,palabra positiva,Hoy me siento feliz
51,Positivo,palabra neutra,La situación se ve pienso
52,Positivo,palabra negativa,El día está aburridísimo
53,Positivo,palabra positiva,La situación se ve emocionante
54,Positivo,palabra positiva,Esto es realmente increíble
55,Neutral,palabra negativa,Algo triste ha pasado hoy
56,Negativo,palabra negativa,Qué día más asqueroso
57,Negativo,palabra negativa,Nunca habia visto algo tan aburrido
58,Negativo,palabra neutra,Esto es realmente día
59,Negativo,palabra negativa,Definitivamente es lamentable
